,Index,Time Stamp
0,37700,2021-02-11 00:10:49.860
1,37701,2021-02-11 00:10:49.870
2,37702,2021-02-11 00:10:49.880
3,37703,2021-02-11 00:10:49.890
4,37704,2021-02-11 00:10:49.900
5,37705,2021-02-11 00:10:49.910
6,37706,2021-02-11 00:10:49.920
7,37707,2021-02-11 00:10:49.930
8,37708,2021-02-11 00:10:49.940
9,37709,2021-02-11 00:10:49.950
10,37710,2021-02-11 00:10:49.960
11,37711,2021-02-11 00:10:49.970
12,37712,2021-02-11 00:10:49.980
13,37713,2021-02-11 00:10:49.990
14,37714,2021-02-11 00:10:50.000
15,37715,2021-02-11 00:10:50.010
16,37716,2021-02-11 00:10:50.020
17,37717,2021-02-11 00:10:50.030
18,37718,2021-02-11 00:10:50.040
19,37719,2021-02-11 00:10:50.050
20,37780,2021-02-11 00:10:50.660
21,37781,2021-02-11 00:10:50.670
22,37782,2021-02-11 00:10:50.680
23,37783,2021-02-11 00:10:50.690
24,37784,2021-02-11 00:10:50.700
25,37785,2021-02-11 00:10:50.710
26,37786,2021-02-11 00:10:50.720
27,37787,2021-02-11 00:10:50.730
28,37788,2021-02-11 00:10:50.740
29,37789,2021-02-11 00:10:50.750
30,37790,2021-02-11 00:10:50.760
31,37791,2021-02-11 00:10:50.770
32,37792,2021-02-11 00:10:50.780
33,37793,2021-02-11 00:10:50.790
34,37794,2021-02-11 00:10:50.800
35,37795,2021-02-11 00:10:50.810
36,37796,2021-02-11 00:10:50.820
37,37797,2021-02-11 00:10:50.830
38,37798,2021-02-11 00:10:50.840
39,37799,2021-02-11 00:10:50.850
40,37800,2021-02-11 00:10:50.860
41,37801,2021-02-11 00:10:50.870
42,37802,2021-02-11 00:10:50.880
43,37803,2021-02-11 00:10:50.890
44,37804,2021-02-11 00:10:50.900
45,37805,2021-02-11 00:10:50.910
46,37806,2021-02-11 00:10:50.920
47,37807,2021-02-11 00:10:50.930
48,37808,2021-02-11 00:10:50.940
49,37809,2021-02-11 00:10:50.950
50,37810,2021-02-11 00:10:50.960
51,37811,2021-02-11 00:10:50.970
52,37812,2021-02-11 00:10:50.980
53,37813,2021-02-11 00:10:50.990
54,37814,2021-02-11 00:10:51.000
55,37815,2021-02-11 00:10:51.010
56,37816,2021-02-11 00:10:51.020
57,37817,2021-02-11 00:10:51.030
58,37818,2021-02-11 00:10:51.040
59,37819,2021-02-11 00:10:51.050
60,37880,2021-02-11 00:10:51.660
61,37881,2021-02-11 00:10:51.670
62,37882,2021-02-11 00:10:51.680
63,37883,2021-02-11 00:10:51.690
64,37884,2021-02-11 00:10:51.700
65,37885,2021-02-11 00:10:51.710
66,37886,2021-02-11 00:10:51.720
67,37887,2021-02-11 00:10:51.730
68,37888,2021-02-11 00:10:51.740
69,37889,2021-02-11 00:10:51.750
70,37890,2021-02-11 00:10:51.760
71,37891,2021-02-11 00:10:51.770
72,37892,2021-02-11 00:10:51.780
73,37893,2021-02-11 00:10:51.790
74,37894,2021-02-11 00:10:51.800
75,37895,2021-02-11 00:10:51.810
76,37896,2021-02-11 00:10:51.820
77,37897,2021-02-11 00:10:51.830
78,37898,2021-02-11 00:10:51.840
79,37899,2021-02-11 00:10:51.850
80,37900,2021-02-11 00:10:51.860
81,37901,2021-02-11 00:10:51.870
82,37902,2021-02-11 00:10:51.880
83,37903,2021-02-11 00:10:51.890
84,37904,2021-02-11 00:10:51.900
85,37905,2021-02-11 00:10:51.910
86,37906,2021-02-11 00:10:51.920
87,37907,2021-02-11 00:10:51.930
88,37908,2021-02-11 00:10:51.940
89,37909,2021-02-11 00:10:51.950
90,37910,2021-02-11 00:10:51.960
91,37911,2021-02-11 00:10:51.970
92,37912,2021-02-11 00:10:51.980
93,37913,2021-02-11 00:10:51.990
94,37914,2021-02-11 00:10:52.000
95,37915,2021-02-11 00:10:52.010
96,37916,2021-02-11 00:10:52.020
97,37917,2021-02-11 00:10:52.030
98,37918,2021-02-11 00:10:52.040
99,37919,2021-02-11 00:10:52.050
100,37920,2021-02-11 00:10:52.060
101,37921,2021-02-11 00:10:52.070
102,37922,2021-02-11 00:10:52.080
103,37923,2021-02-11 00:10:52.090
104,37924,2021-02-11 00:10:52.100
105,37925,2021-02-11 00:10:52.110
106,37926,2021-02-11 00:10:52.120
107,37927,2021-02-11 00:10:52.130
108,37928,2021-02-11 00:10:52.140
109,37929,2021-02-11 00:10:52.150
110,37930,2021-02-11 00:10:52.160
111,37931,2021-02-11 00:10:52.170
112,37932,2021-02-11 00:10:52.180
113,37933,2021-02-11 00:10:52.190
114,37934,2021-02-11 00:10:52.200
115,37935,2021-02-11 00:10:52.210
116,37936,2021-02-11 00:10:52.220
117,37937,2021-02-11 00:10:52.230
118,37938,2021-02-11 00:10:52.240
119,37939,2021-02-11 00:10:52.250
120,38000,2021-02-11 00:10:52.860
121,38001,2021-02-11 00:10:52.870
122,38002,2021-02-11 00:10:52.880
123,38003,2021-02-11 00:10:52.890
124,38004,2021-02-11 00:10:52.900
125,38005,2021-02-11 00:10:52.910
126,38006,2021-02-11 00:10:52.920
127,38007,2021-02-11 00:10:52.930
128,38008,2021-02-11 00:10:52.940
129,38009,2021-02-11 00:10:52.950
130,38010,2021-02-11 00:10:52.960
131,38011,2021-02-11 00:10:52.970
132,38012,2021-02-11 00:10:52.980
133,38013,2021-02-11 00:10:52.990
134,38014,2021-02-11 00:10:53.000
135,38015,2021-02-11 00:10:53.010
136,38016,2021-02-11 00:10:53.020
137,38017,2021-02-11 00:10:53.030
138,38018,2021-02-11 00:10:53.040
139,38019,2021-02-11 00:10:53.050
140,38020,2021-02-11 00:10:53.060
141,38021,2021-02-11 00:10:53.070
142,38022,2021-02-11 00:10:53.080
143,38023,2021-02-11 00:10:53.090
144,38024,2021-02-11 00:10:53.100
145,38025,2021-02-11 00:10:53.110
146,38026,2021-02-11 00:10:53.120
147,38027,2021-02-11 00:10:53.130
148,38028,2021-02-11 00:10:53.140
149,38029,2021-02-11 00:10:53.150
150,38030,2021-02-11 00:10:53.160
151,38031,2021-02-11 00:10:53.170
152,38032,2021-02-11 00:10:53.180
153,38033,2021-02-11 00:10:53.190
154,38034,2021-02-11 00:10:53.200
155,38035,2021-02-11 00:10:53.210
156,38036,2021-02-11 00:10:53.220
157,38037,2021-02-11 00:10:53.230
158,38038,2021-02-11 00:10:53.240
159,38039,2021-02-11 00:10:53.250
160,38060,2021-02-11 00:10:53.460
161,38061,2021-02-11 00:10:53.470
162,38062,2021-02-11 00:10:53.480
163,38063,2021-02-11 00:10:53.490
164,38064,2021-02-11 00:10:53.500
165,38065,2021-02-11 00:10:53.510
166,38066,2021-02-11 00:10:53.520
167,38067,2021-02-11 00:10:53.530
168,38068,2021-02-11 00:10:53.540
169,38069,2021-02-11 00:10:53.550
170,38070,2021-02-11 00:10:53.560
171,38071,2021-02-11 00:10:53.570
172,38072,2021-02-11 00:10:53.580
173,38073,2021-02-11 00:10:53.590
174,38074,2021-02-11 00:10:53.600
175,38075,2021-02-11 00:10:53.610
176,38076,2021-02-11 00:10:53.620
177,38077,2021-02-11 00:10:53.630
178,38078,2021-02-11 00:10:53.640
179,38079,2021-02-11 00:10:53.650
180,38080,2021-02-11 00:10:53.660
181,38081,2021-02-11 00:10:53.670
182,38082,2021-02-11 00:10:53.680
183,38083,2021-02-11 00:10:53.690
184,38084,2021-02-11 00:10:53.700
185,38085,2021-02-11 00:10:53.710
186,38086,2021-02-11 00:10:53.720
187,38087,2021-02-11 00:10:53.730
188,38088,2021-02-11 00:10:53.740
189,38089,2021-02-11 00:10:53.750
190,38090,2021-02-11 00:10:53.760
191,38091,2021-02-11 00:10:53.770
192,38092,2021-02-11 00:10:53.780
193,38093,2021-02-11 00:10:53.790
194,38094,2021-02-11 00:10:53.800
195,38095,2021-02-11 00:10:53.810
196,38096,2021-02-11 00:10:53.820
197,38097,2021-02-11 00:10:53.830
198,38098,2021-02-11 00:10:53.840
199,38099,2021-02-11 00:10:53.850
200,38100,2021-02-11 00:10:53.860
201,38101,2021-02-11 00:10:53.870
202,38102,2021-02-11 00:10:53.880
203,38103,2021-02-11 00:10:53.890
204,38104,2021-02-11 00:10:53.900
205,38105,2021-02-11 00:10:53.910
206,38106,2021-02-11 00:10:53.920
207,38107,2021-02-11 00:10:53.930
208,38108,2021-02-11 00:10:53.940
209,38109,2021-02-11 00:10:53.950
210,38110,2021-02-11 00:10:53.960
211,38111,2021-02-11 00:10:53.970
212,38112,2021-02-11 00:10:53.980
